,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
9317,298.5,1480,38.1,160,0,"(297.843, 298.529]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
39,298.8,1350,52.5,111,0,"(298.529, 299.214]","(1348.143, 1409.857]","(52.029, 54.986]","(69.875, 126.5]"
4819,303.6,1696,30.7,5,0,"(303.329, 304.014]","(1656.714, 1718.429]","(28.371, 31.329]","(-43.375, 13.25]"
3465,301.8,1383,45.7,44,0,"(301.271, 301.957]","(1348.143, 1409.857]","(43.157, 46.114]","(13.25, 69.875]"
1760,298.1,1684,33.1,200,0,"(297.843, 298.529]","(1656.714, 1718.429]","(31.329, 34.286]","(183.125, 239.75]"
2304,299.1,1455,39.8,145,0,"(298.529, 299.214]","(1409.857, 1471.571]","(37.243, 40.2]","(126.5, 183.125]"
3723,302.3,1758,24.4,68,0,"(301.957, 302.643]","(1718.429, 1780.143]","(22.457, 25.414]","(13.25, 69.875]"
8284,298.8,1651,33.3,0,0,"(298.529, 299.214]","(1595.0, 1656.714]","(31.329, 34.286]","(-43.375, 13.25]"
4993,303.8,1819,23.7,16,0,"(303.329, 304.014]","(1780.143, 1841.857]","(22.457, 25.414]","(13.25, 69.875]"
8127,300.1,1650,33.8,38,0,"(299.9, 300.586]","(1595.0, 1656.714]","(31.329, 34.286]","(13.25, 69.875]"
3032,300.6,1447,42.9,12,0,"(300.586, 301.271]","(1409.857, 1471.571]","(40.2, 43.157]","(-43.375, 13.25]"
7938,300.8,1681,31.3,221,0,"(300.586, 301.271]","(1656.714, 1718.429]","(28.371, 31.329]","(183.125, 239.75]"
3039,300.3,1665,31.4,32,0,"(299.9, 300.586]","(1656.714, 1718.429]","(31.329, 34.286]","(13.25, 69.875]"
9655,299.1,1431,49.5,205,0,"(298.529, 299.214]","(1409.857, 1471.571]","(49.071, 52.029]","(183.125, 239.75]"
2545,299.2,1541,36.3,104,0,"(298.529, 299.214]","(1533.286, 1595.0]","(34.286, 37.243]","(69.875, 126.5]"
2592,298.9,1539,45.4,4,0,"(298.529, 299.214]","(1533.286, 1595.0]","(43.157, 46.114]","(-43.375, 13.25]"
1188,297.3,1339,52.1,36,0,"(297.157, 297.843]","(1286.429, 1348.143]","(52.029, 54.986]","(13.25, 69.875]"
7966,301.0,1602,35.9,67,0,"(300.586, 301.271]","(1595.0, 1656.714]","(34.286, 37.243]","(13.25, 69.875]"
6077,300.9,1479,43.3,201,0,"(300.586, 301.271]","(1471.571, 1533.286]","(43.157, 46.114]","(183.125, 239.75]"
107,298.8,1497,46.8,72,0,"(298.529, 299.214]","(1471.571, 1533.286]","(46.114, 49.071]","(69.875, 126.5]"
1315,299.0,1520,45.0,171,0,"(298.529, 299.214]","(1471.571, 1533.286]","(43.157, 46.114]","(126.5, 183.125]"
8187,299.6,1448,46.3,196,0,"(299.214, 299.9]","(1409.857, 1471.571]","(46.114, 49.071]","(183.125, 239.75]"
2753,299.7,1715,27.8,192,0,"(299.214, 299.9]","(1656.714, 1718.429]","(25.414, 28.371]","(183.125, 239.75]"
9753,298.5,1593,35.1,203,0,"(297.843, 298.529]","(1533.286, 1595.0]","(34.286, 37.243]","(183.125, 239.75]"
6231,301.3,1495,40.8,148,0,"(301.271, 301.957]","(1471.571, 1533.286]","(40.2, 43.157]","(126.5, 183.125]"
2876,300.5,1578,30.5,34,0,"(299.9, 300.586]","(1533.286, 1595.0]","(28.371, 31.329]","(13.25, 69.875]"
5323,303.4,1399,48.4,34,0,"(303.329, 304.014]","(1348.143, 1409.857]","(46.114, 49.071]","(13.25, 69.875]"
799,297.0,1579,34.1,94,0,"(296.471, 297.157]","(1533.286, 1595.0]","(31.329, 34.286]","(69.875, 126.5]"
3570,301.8,1441,46.3,100,0,"(301.271, 301.957]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
2894,300.7,1733,24.8,85,0,"(300.586, 301.271]","(1718.429, 1780.143]","(22.457, 25.414]","(69.875, 126.5]"
2927,300.7,1421,49.8,165,0,"(300.586, 301.271]","(1409.857, 1471.571]","(49.071, 52.029]","(126.5, 183.125]"
8178,299.7,1352,52.1,176,0,"(299.214, 299.9]","(1348.143, 1409.857]","(52.029, 54.986]","(126.5, 183.125]"
971,295.9,1557,41.1,113,0,"(295.786, 296.471]","(1533.286, 1595.0]","(40.2, 43.157]","(69.875, 126.5]"
6687,301.7,1700,28.7,19,0,"(301.271, 301.957]","(1656.714, 1718.429]","(28.371, 31.329]","(13.25, 69.875]"
8575,297.6,1648,29.1,134,0,"(297.157, 297.843]","(1595.0, 1656.714]","(28.371, 31.329]","(126.5, 183.125]"
2020,298.7,1560,33.3,53,0,"(298.529, 299.214]","(1533.286, 1595.0]","(31.329, 34.286]","(13.25, 69.875]"
9054,297.3,1521,38.2,87,0,"(297.157, 297.843]","(1471.571, 1533.286]","(37.243, 40.2]","(69.875, 126.5]"
952,295.5,1448,48.9,65,0,"(295.1, 295.786]","(1409.857, 1471.571]","(46.114, 49.071]","(13.25, 69.875]"
5359,303.3,1397,47.1,137,0,"(302.643, 303.329]","(1348.143, 1409.857]","(46.114, 49.071]","(126.5, 183.125]"
3857,302.4,1506,40.8,204,0,"(301.957, 302.643]","(1471.571, 1533.286]","(40.2, 43.157]","(183.125, 239.75]"
5861,301.3,1554,47.7,84,0,"(301.271, 301.957]","(1533.286, 1595.0]","(46.114, 49.071]","(69.875, 126.5]"
3145,300.5,1415,43.5,98,0,"(299.9, 300.586]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
3305,301.3,1577,48.3,78,0,"(301.271, 301.957]","(1533.286, 1595.0]","(46.114, 49.071]","(69.875, 126.5]"
3006,300.4,1488,35.7,177,0,"(299.9, 300.586]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
9001,297.0,1500,39.9,175,0,"(296.471, 297.157]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
7770,300.3,1548,32.2,25,0,"(299.9, 300.586]","(1533.286, 1595.0]","(31.329, 34.286]","(13.25, 69.875]"
7438,299.9,1647,27.5,26,0,"(299.214, 299.9]","(1595.0, 1656.714]","(25.414, 28.371]","(13.25, 69.875]"
7942,300.8,1432,45.8,6,0,"(300.586, 301.271]","(1409.857, 1471.571]","(43.157, 46.114]","(-43.375, 13.25]"
9238,298.2,1456,41.2,150,0,"(297.843, 298.529]","(1409.857, 1471.571]","(40.2, 43.157]","(126.5, 183.125]"
1056,296.8,1565,39.5,124,0,"(296.471, 297.157]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
3154,300.4,1534,42.5,127,0,"(299.9, 300.586]","(1533.286, 1595.0]","(40.2, 43.157]","(126.5, 183.125]"
3787,302.3,1377,47.3,22,1,"(301.957, 302.643]","(1348.143, 1409.857]","(46.114, 49.071]","(13.25, 69.875]"
9189,297.9,1595,32.0,32,0,"(297.843, 298.529]","(1533.286, 1595.0]","(31.329, 34.286]","(13.25, 69.875]"
7825,299.9,1579,35.5,162,0,"(299.214, 299.9]","(1533.286, 1595.0]","(34.286, 37.243]","(126.5, 183.125]"
7539,300.2,1487,36.9,71,0,"(299.9, 300.586]","(1471.571, 1533.286]","(34.286, 37.243]","(69.875, 126.5]"
7231,299.8,1553,36.6,157,0,"(299.214, 299.9]","(1533.286, 1595.0]","(34.286, 37.243]","(126.5, 183.125]"
764,296.8,1337,56.5,5,0,"(296.471, 297.157]","(1286.429, 1348.143]","(54.986, 57.943]","(-43.375, 13.25]"
5019,304.0,1466,39.5,83,0,"(303.329, 304.014]","(1409.857, 1471.571]","(37.243, 40.2]","(69.875, 126.5]"
4903,303.6,2232,16.8,0,0,"(303.329, 304.014]","(2212.143, 2273.857]","(16.543, 19.5]","(-43.375, 13.25]"
8093,300.2,1511,35.7,160,0,"(299.9, 300.586]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
6843,301.3,1509,42.5,213,0,"(301.271, 301.957]","(1471.571, 1533.286]","(40.2, 43.157]","(183.125, 239.75]"
2165,299.5,1476,47.8,223,0,"(299.214, 299.9]","(1471.571, 1533.286]","(46.114, 49.071]","(183.125, 239.75]"
1862,297.9,1517,44.4,67,0,"(297.843, 298.529]","(1471.571, 1533.286]","(43.157, 46.114]","(13.25, 69.875]"
7850,300.3,1447,36.8,0,0,"(299.9, 300.586]","(1409.857, 1471.571]","(34.286, 37.243]","(-43.375, 13.25]"
9123,297.4,1462,42.8,68,0,"(297.157, 297.843]","(1409.857, 1471.571]","(40.2, 43.157]","(13.25, 69.875]"
2340,299.1,1479,40.7,10,0,"(298.529, 299.214]","(1471.571, 1533.286]","(40.2, 43.157]","(-43.375, 13.25]"
5527,302.5,1532,38.8,96,0,"(301.957, 302.643]","(1471.571, 1533.286]","(37.243, 40.2]","(69.875, 126.5]"
6743,301.7,1418,38.0,166,0,"(301.271, 301.957]","(1409.857, 1471.571]","(37.243, 40.2]","(126.5, 183.125]"
4003,302.1,1519,39.3,155,0,"(301.957, 302.643]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
1123,296.6,1386,62.3,100,1,"(296.471, 297.157]","(1348.143, 1409.857]","(60.9, 63.857]","(69.875, 126.5]"
8709,297.1,1578,35.6,46,0,"(296.471, 297.157]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
4049,301.8,1505,41.2,33,0,"(301.271, 301.957]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
7640,300.4,1608,35.1,114,0,"(299.9, 300.586]","(1595.0, 1656.714]","(34.286, 37.243]","(69.875, 126.5]"
765,296.9,1332,53.9,7,0,"(296.471, 297.157]","(1286.429, 1348.143]","(52.029, 54.986]","(-43.375, 13.25]"
2344,299.2,1755,26.4,19,0,"(298.529, 299.214]","(1718.429, 1780.143]","(25.414, 28.371]","(13.25, 69.875]"
4071,301.9,1331,68.6,85,1,"(301.271, 301.957]","(1286.429, 1348.143]","(66.814, 69.771]","(69.875, 126.5]"
7216,300.0,1651,28.1,114,0,"(299.9, 300.586]","(1595.0, 1656.714]","(25.414, 28.371]","(69.875, 126.5]"
4216,301.9,1370,50.3,20,0,"(301.271, 301.957]","(1348.143, 1409.857]","(49.071, 52.029]","(13.25, 69.875]"
7952,300.9,1480,40.9,28,0,"(300.586, 301.271]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
5970,300.4,1520,37.6,151,0,"(299.9, 300.586]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
3350,301.4,1285,62.6,183,1,"(301.271, 301.957]","(1224.714, 1286.429]","(60.9, 63.857]","(126.5, 183.125]"
4695,303.3,1514,34.7,130,0,"(302.643, 303.329]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
3399,301.4,1605,34.2,94,0,"(301.271, 301.957]","(1595.0, 1656.714]","(31.329, 34.286]","(69.875, 126.5]"
4081,302.0,1336,58.2,110,1,"(301.957, 302.643]","(1286.429, 1348.143]","(57.943, 60.9]","(69.875, 126.5]"
9149,297.5,1429,50.5,129,0,"(297.157, 297.843]","(1409.857, 1471.571]","(49.071, 52.029]","(126.5, 183.125]"
1224,297.1,1763,25.7,139,0,"(296.471, 297.157]","(1718.429, 1780.143]","(25.414, 28.371]","(126.5, 183.125]"
6292,301.0,1614,31.6,84,0,"(300.586, 301.271]","(1595.0, 1656.714]","(31.329, 34.286]","(69.875, 126.5]"
3122,300.0,1473,46.0,35,0,"(299.9, 300.586]","(1471.571, 1533.286]","(43.157, 46.114]","(13.25, 69.875]"
510,297.5,1564,37.5,20,0,"(297.157, 297.843]","(1533.286, 1595.0]","(37.243, 40.2]","(13.25, 69.875]"
5794,301.9,1492,40.8,150,0,"(301.271, 301.957]","(1471.571, 1533.286]","(40.2, 43.157]","(126.5, 183.125]"
8181,299.7,1835,23.7,183,0,"(299.214, 299.9]","(1780.143, 1841.857]","(22.457, 25.414]","(126.5, 183.125]"
9417,298.1,1515,43.8,6,0,"(297.843, 298.529]","(1471.571, 1533.286]","(43.157, 46.114]","(-43.375, 13.25]"
96,299.0,1575,35.3,47,0,"(298.529, 299.214]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
6681,301.4,1425,45.1,7,0,"(301.271, 301.957]","(1409.857, 1471.571]","(43.157, 46.114]","(-43.375, 13.25]"
1512,298.0,1503,36.3,5,0,"(297.843, 298.529]","(1471.571, 1533.286]","(34.286, 37.243]","(-43.375, 13.25]"
8791,297.4,1412,45.5,49,0,"(297.157, 297.843]","(1409.857, 1471.571]","(43.157, 46.114]","(13.25, 69.875]"
119,298.7,1467,40.7,106,0,"(298.529, 299.214]","(1409.857, 1471.571]","(40.2, 43.157]","(69.875, 126.5]"
7791,300.1,1418,47.7,73,0,"(299.9, 300.586]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
6517,301.1,1540,36.6,28,0,"(300.586, 301.271]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
33,298.9,1665,32.5,93,0,"(298.529, 299.214]","(1656.714, 1718.429]","(31.329, 34.286]","(69.875, 126.5]"
7887,300.7,1590,37.9,98,0,"(300.586, 301.271]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
6830,301.0,1359,53.4,180,0,"(300.586, 301.271]","(1348.143, 1409.857]","(52.029, 54.986]","(126.5, 183.125]"
5421,302.6,1566,36.6,46,0,"(301.957, 302.643]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
1068,296.8,1394,47.7,155,0,"(296.471, 297.157]","(1348.143, 1409.857]","(46.114, 49.071]","(126.5, 183.125]"
1347,298.7,1717,27.3,26,0,"(298.529, 299.214]","(1656.714, 1718.429]","(25.414, 28.371]","(13.25, 69.875]"
4747,303.3,1763,27.3,27,0,"(302.643, 303.329]","(1718.429, 1780.143]","(25.414, 28.371]","(13.25, 69.875]"
6005,300.6,1570,38.3,14,0,"(300.586, 301.271]","(1533.286, 1595.0]","(37.243, 40.2]","(13.25, 69.875]"
6039,300.6,1433,42.6,101,0,"(300.586, 301.271]","(1409.857, 1471.571]","(40.2, 43.157]","(69.875, 126.5]"
3817,302.1,1421,52.0,95,0,"(301.957, 302.643]","(1409.857, 1471.571]","(49.071, 52.029]","(69.875, 126.5]"
8446,298.5,1482,42.1,15,0,"(297.843, 298.529]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
5269,303.5,1504,44.8,111,0,"(303.329, 304.014]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
6897,301.0,1352,63.5,143,0,"(300.586, 301.271]","(1348.143, 1409.857]","(60.9, 63.857]","(126.5, 183.125]"
5309,303.9,1422,48.0,215,1,"(303.329, 304.014]","(1409.857, 1471.571]","(46.114, 49.071]","(183.125, 239.75]"
31,299.0,1798,25.5,89,0,"(298.529, 299.214]","(1780.143, 1841.857]","(25.414, 28.371]","(69.875, 126.5]"
5674,302.2,1393,42.5,53,0,"(301.957, 302.643]","(1348.143, 1409.857]","(40.2, 43.157]","(13.25, 69.875]"
4386,301.9,1719,31.9,0,0,"(301.271, 301.957]","(1718.429, 1780.143]","(31.329, 34.286]","(-43.375, 13.25]"
29,299.0,1693,30.1,84,0,"(298.529, 299.214]","(1656.714, 1718.429]","(28.371, 31.329]","(69.875, 126.5]"
4202,302.4,1555,40.6,205,0,"(301.957, 302.643]","(1533.286, 1595.0]","(40.2, 43.157]","(183.125, 239.75]"
7507,300.5,1750,28.3,207,0,"(299.9, 300.586]","(1718.429, 1780.143]","(25.414, 28.371]","(183.125, 239.75]"
735,296.9,1557,32.4,173,0,"(296.471, 297.157]","(1533.286, 1595.0]","(31.329, 34.286]","(126.5, 183.125]"
2067,299.7,1553,36.8,174,0,"(299.214, 299.9]","(1533.286, 1595.0]","(34.286, 37.243]","(126.5, 183.125]"
106,298.8,1445,48.5,70,0,"(298.529, 299.214]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
9644,299.3,1629,32.6,177,0,"(299.214, 299.9]","(1595.0, 1656.714]","(31.329, 34.286]","(126.5, 183.125]"
8894,297.5,1546,38.0,123,0,"(297.157, 297.843]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
8020,300.9,1720,27.9,202,0,"(300.586, 301.271]","(1718.429, 1780.143]","(25.414, 28.371]","(183.125, 239.75]"
2232,299.5,1672,30.5,177,0,"(299.214, 299.9]","(1656.714, 1718.429]","(28.371, 31.329]","(126.5, 183.125]"
993,296.1,1485,36.0,169,0,"(295.786, 296.471]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
9412,298.0,1702,26.7,203,0,"(297.843, 298.529]","(1656.714, 1718.429]","(25.414, 28.371]","(183.125, 239.75]"
7058,300.7,1520,45.9,146,0,"(300.586, 301.271]","(1471.571, 1533.286]","(43.157, 46.114]","(126.5, 183.125]"
6789,301.1,1646,30.7,76,0,"(300.586, 301.271]","(1595.0, 1656.714]","(28.371, 31.329]","(69.875, 126.5]"
360,297.5,1521,38.2,74,0,"(297.157, 297.843]","(1471.571, 1533.286]","(37.243, 40.2]","(69.875, 126.5]"
304,297.8,1737,27.5,146,0,"(297.157, 297.843]","(1718.429, 1780.143]","(25.414, 28.371]","(126.5, 183.125]"
2627,299.8,1346,53.2,95,0,"(299.214, 299.9]","(1286.429, 1348.143]","(52.029, 54.986]","(69.875, 126.5]"
8965,297.1,1496,44.7,88,0,"(296.471, 297.157]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
4513,302.4,1900,24.4,113,0,"(301.957, 302.643]","(1841.857, 1903.571]","(22.457, 25.414]","(69.875, 126.5]"
5910,300.8,1458,43.4,0,0,"(300.586, 301.271]","(1409.857, 1471.571]","(43.157, 46.114]","(-43.375, 13.25]"
8313,298.8,1484,44.9,80,0,"(298.529, 299.214]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
3100,299.8,1578,42.1,191,0,"(299.214, 299.9]","(1533.286, 1595.0]","(40.2, 43.157]","(183.125, 239.75]"
5703,302.3,1456,45.4,130,0,"(301.957, 302.643]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
3898,302.1,1423,36.8,80,0,"(301.957, 302.643]","(1409.857, 1471.571]","(34.286, 37.243]","(69.875, 126.5]"
5440,303.0,1698,30.0,89,0,"(302.643, 303.329]","(1656.714, 1718.429]","(28.371, 31.329]","(69.875, 126.5]"
7930,300.6,1455,48.0,203,0,"(300.586, 301.271]","(1409.857, 1471.571]","(46.114, 49.071]","(183.125, 239.75]"
621,298.3,1408,45.3,78,0,"(297.843, 298.529]","(1348.143, 1409.857]","(43.157, 46.114]","(69.875, 126.5]"
7235,299.8,1361,53.8,167,0,"(299.214, 299.9]","(1348.143, 1409.857]","(52.029, 54.986]","(126.5, 183.125]"
2498,299.1,1467,47.2,218,0,"(298.529, 299.214]","(1409.857, 1471.571]","(46.114, 49.071]","(183.125, 239.75]"
713,297.4,1439,46.4,114,0,"(297.157, 297.843]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
8403,298.5,1462,45.1,115,0,"(297.843, 298.529]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
2855,300.5,1528,37.0,221,0,"(299.9, 300.586]","(1471.571, 1533.286]","(34.286, 37.243]","(183.125, 239.75]"
4269,302.6,1610,39.2,152,0,"(301.957, 302.643]","(1595.0, 1656.714]","(37.243, 40.2]","(126.5, 183.125]"
2908,300.7,1251,59.9,120,0,"(300.586, 301.271]","(1224.714, 1286.429]","(57.943, 60.9]","(69.875, 126.5]"
8080,300.2,1432,43.6,127,0,"(299.9, 300.586]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
4516,302.5,1539,39.0,119,0,"(301.957, 302.643]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
1261,297.6,1885,25.2,24,0,"(297.157, 297.843]","(1841.857, 1903.571]","(22.457, 25.414]","(13.25, 69.875]"
3160,300.4,1367,51.2,143,0,"(299.9, 300.586]","(1348.143, 1409.857]","(49.071, 52.029]","(126.5, 183.125]"
970,295.8,1568,35.1,111,0,"(295.786, 296.471]","(1533.286, 1595.0]","(34.286, 37.243]","(69.875, 126.5]"
3912,302.4,1475,40.4,126,0,"(301.957, 302.643]","(1471.571, 1533.286]","(40.2, 43.157]","(69.875, 126.5]"
5198,303.8,1428,53.3,152,0,"(303.329, 304.014]","(1409.857, 1471.571]","(52.029, 54.986]","(126.5, 183.125]"
8846,297.4,1325,62.4,204,1,"(297.157, 297.843]","(1286.429, 1348.143]","(60.9, 63.857]","(183.125, 239.75]"
259,298.1,1420,63.9,19,1,"(297.843, 298.529]","(1409.857, 1471.571]","(63.857, 66.814]","(13.25, 69.875]"
3790,302.3,1412,48.9,28,0,"(301.957, 302.643]","(1409.857, 1471.571]","(46.114, 49.071]","(13.25, 69.875]"
9202,297.8,1548,36.9,64,0,"(297.157, 297.843]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
487,297.4,1463,35.0,183,0,"(297.157, 297.843]","(1409.857, 1471.571]","(34.286, 37.243]","(126.5, 183.125]"
7907,300.8,1858,26.3,144,0,"(300.586, 301.271]","(1841.857, 1903.571]","(25.414, 28.371]","(126.5, 183.125]"
518,297.6,1924,20.6,37,0,"(297.157, 297.843]","(1903.571, 1965.286]","(19.5, 22.457]","(13.25, 69.875]"
8342,298.7,1510,40.6,162,0,"(298.529, 299.214]","(1471.571, 1533.286]","(40.2, 43.157]","(126.5, 183.125]"
311,298.0,1453,44.1,165,0,"(297.843, 298.529]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
