,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
3039,300.3,1665,31.4,32,0,"(299.9, 300.317]","(1651.348, 1688.913]","(31.2, 33.0]","(28.022, 37.87]"
9655,299.1,1431,49.5,205,0,"(299.065, 299.483]","(1425.957, 1463.522]","(49.2, 51.0]","(195.435, 205.283]"
2545,299.2,1541,36.3,104,0,"(299.065, 299.483]","(1538.652, 1576.217]","(34.8, 36.6]","(96.957, 106.804]"
2592,298.9,1539,45.4,4,0,"(298.648, 299.065]","(1538.652, 1576.217]","(43.8, 45.6]","(-1.522, 8.326]"
1188,297.3,1339,52.1,36,0,"(296.978, 297.396]","(1313.261, 1350.826]","(51.0, 52.8]","(28.022, 37.87]"
7966,301.0,1602,35.9,67,0,"(300.735, 301.152]","(1576.217, 1613.783]","(34.8, 36.6]","(57.565, 67.413]"
6077,300.9,1479,43.3,201,0,"(300.735, 301.152]","(1463.522, 1501.087]","(42.0, 43.8]","(195.435, 205.283]"
107,298.8,1497,46.8,72,0,"(298.648, 299.065]","(1463.522, 1501.087]","(45.6, 47.4]","(67.413, 77.261]"
1315,299.0,1520,45.0,171,0,"(298.648, 299.065]","(1501.087, 1538.652]","(43.8, 45.6]","(165.891, 175.739]"
8187,299.6,1448,46.3,196,0,"(299.483, 299.9]","(1425.957, 1463.522]","(45.6, 47.4]","(195.435, 205.283]"
2753,299.7,1715,27.8,192,0,"(299.483, 299.9]","(1688.913, 1726.478]","(27.6, 29.4]","(185.587, 195.435]"
9753,298.5,1593,35.1,203,0,"(298.23, 298.648]","(1576.217, 1613.783]","(34.8, 36.6]","(195.435, 205.283]"
6231,301.3,1495,40.8,148,0,"(301.152, 301.57]","(1463.522, 1501.087]","(40.2, 42.0]","(146.196, 156.043]"
2876,300.5,1578,30.5,34,0,"(300.317, 300.735]","(1576.217, 1613.783]","(29.4, 31.2]","(28.022, 37.87]"
5323,303.4,1399,48.4,34,0,"(303.239, 303.657]","(1388.391, 1425.957]","(47.4, 49.2]","(28.022, 37.87]"
799,297.0,1579,34.1,94,0,"(296.978, 297.396]","(1576.217, 1613.783]","(33.0, 34.8]","(87.109, 96.957]"
3570,301.8,1441,46.3,100,0,"(301.57, 301.987]","(1425.957, 1463.522]","(45.6, 47.4]","(96.957, 106.804]"
2894,300.7,1733,24.8,85,0,"(300.317, 300.735]","(1726.478, 1764.043]","(24.0, 25.8]","(77.261, 87.109]"
2927,300.7,1421,49.8,165,0,"(300.317, 300.735]","(1388.391, 1425.957]","(49.2, 51.0]","(156.043, 165.891]"
8178,299.7,1352,52.1,176,0,"(299.483, 299.9]","(1350.826, 1388.391]","(51.0, 52.8]","(175.739, 185.587]"
971,295.9,1557,41.1,113,0,"(295.726, 296.143]","(1538.652, 1576.217]","(40.2, 42.0]","(106.804, 116.652]"
6687,301.7,1700,28.7,19,0,"(301.57, 301.987]","(1688.913, 1726.478]","(27.6, 29.4]","(18.174, 28.022]"
8575,297.6,1648,29.1,134,0,"(297.396, 297.813]","(1613.783, 1651.348]","(27.6, 29.4]","(126.5, 136.348]"
2020,298.7,1560,33.3,53,0,"(298.648, 299.065]","(1538.652, 1576.217]","(33.0, 34.8]","(47.717, 57.565]"
9054,297.3,1521,38.2,87,0,"(296.978, 297.396]","(1501.087, 1538.652]","(36.6, 38.4]","(77.261, 87.109]"
952,295.5,1448,48.9,65,0,"(295.309, 295.726]","(1425.957, 1463.522]","(47.4, 49.2]","(57.565, 67.413]"
5359,303.3,1397,47.1,137,0,"(303.239, 303.657]","(1388.391, 1425.957]","(45.6, 47.4]","(136.348, 146.196]"
3857,302.4,1506,40.8,204,0,"(301.987, 302.404]","(1501.087, 1538.652]","(40.2, 42.0]","(195.435, 205.283]"
5861,301.3,1554,47.7,84,0,"(301.152, 301.57]","(1538.652, 1576.217]","(47.4, 49.2]","(77.261, 87.109]"
3145,300.5,1415,43.5,98,0,"(300.317, 300.735]","(1388.391, 1425.957]","(42.0, 43.8]","(96.957, 106.804]"
3305,301.3,1577,48.3,78,0,"(301.152, 301.57]","(1576.217, 1613.783]","(47.4, 49.2]","(77.261, 87.109]"
3006,300.4,1488,35.7,177,0,"(300.317, 300.735]","(1463.522, 1501.087]","(34.8, 36.6]","(175.739, 185.587]"
9001,297.0,1500,39.9,175,0,"(296.978, 297.396]","(1463.522, 1501.087]","(38.4, 40.2]","(165.891, 175.739]"
7770,300.3,1548,32.2,25,0,"(299.9, 300.317]","(1538.652, 1576.217]","(31.2, 33.0]","(18.174, 28.022]"
7438,299.9,1647,27.5,26,0,"(299.9, 300.317]","(1613.783, 1651.348]","(25.8, 27.6]","(18.174, 28.022]"
7942,300.8,1432,45.8,6,0,"(300.735, 301.152]","(1425.957, 1463.522]","(45.6, 47.4]","(-1.522, 8.326]"
9238,298.2,1456,41.2,150,0,"(297.813, 298.23]","(1425.957, 1463.522]","(40.2, 42.0]","(146.196, 156.043]"
1056,296.8,1565,39.5,124,0,"(296.561, 296.978]","(1538.652, 1576.217]","(38.4, 40.2]","(116.652, 126.5]"
3154,300.4,1534,42.5,127,0,"(300.317, 300.735]","(1501.087, 1538.652]","(42.0, 43.8]","(126.5, 136.348]"
3787,302.3,1377,47.3,22,1,"(301.987, 302.404]","(1350.826, 1388.391]","(45.6, 47.4]","(18.174, 28.022]"
9189,297.9,1595,32.0,32,0,"(297.813, 298.23]","(1576.217, 1613.783]","(31.2, 33.0]","(28.022, 37.87]"
7825,299.9,1579,35.5,162,0,"(299.9, 300.317]","(1576.217, 1613.783]","(34.8, 36.6]","(156.043, 165.891]"
7539,300.2,1487,36.9,71,0,"(299.9, 300.317]","(1463.522, 1501.087]","(36.6, 38.4]","(67.413, 77.261]"
7231,299.8,1553,36.6,157,0,"(299.483, 299.9]","(1538.652, 1576.217]","(34.8, 36.6]","(156.043, 165.891]"
764,296.8,1337,56.5,5,0,"(296.561, 296.978]","(1313.261, 1350.826]","(56.4, 58.2]","(-1.522, 8.326]"
5019,304.0,1466,39.5,83,0,"(303.657, 304.074]","(1463.522, 1501.087]","(38.4, 40.2]","(77.261, 87.109]"
4903,303.6,2232,16.8,0,0,"(303.239, 303.657]","(2214.826, 2252.391]","(15.0, 16.8]","(-1.522, 8.326]"
8093,300.2,1511,35.7,160,0,"(299.9, 300.317]","(1501.087, 1538.652]","(34.8, 36.6]","(156.043, 165.891]"
6843,301.3,1509,42.5,213,0,"(301.152, 301.57]","(1501.087, 1538.652]","(42.0, 43.8]","(205.283, 215.13]"
2165,299.5,1476,47.8,223,0,"(299.483, 299.9]","(1463.522, 1501.087]","(47.4, 49.2]","(215.13, 224.978]"
1862,297.9,1517,44.4,67,0,"(297.813, 298.23]","(1501.087, 1538.652]","(43.8, 45.6]","(57.565, 67.413]"
7850,300.3,1447,36.8,0,0,"(299.9, 300.317]","(1425.957, 1463.522]","(36.6, 38.4]","(-1.522, 8.326]"
9123,297.4,1462,42.8,68,0,"(297.396, 297.813]","(1425.957, 1463.522]","(42.0, 43.8]","(67.413, 77.261]"
2340,299.1,1479,40.7,10,0,"(299.065, 299.483]","(1463.522, 1501.087]","(40.2, 42.0]","(8.326, 18.174]"
5527,302.5,1532,38.8,96,0,"(302.404, 302.822]","(1501.087, 1538.652]","(38.4, 40.2]","(87.109, 96.957]"
6743,301.7,1418,38.0,166,0,"(301.57, 301.987]","(1388.391, 1425.957]","(36.6, 38.4]","(165.891, 175.739]"
4003,302.1,1519,39.3,155,0,"(301.987, 302.404]","(1501.087, 1538.652]","(38.4, 40.2]","(146.196, 156.043]"
1123,296.6,1386,62.3,100,1,"(296.561, 296.978]","(1350.826, 1388.391]","(61.8, 63.6]","(96.957, 106.804]"
8709,297.1,1578,35.6,46,0,"(296.978, 297.396]","(1576.217, 1613.783]","(34.8, 36.6]","(37.87, 47.717]"
4049,301.8,1505,41.2,33,0,"(301.57, 301.987]","(1501.087, 1538.652]","(40.2, 42.0]","(28.022, 37.87]"
7640,300.4,1608,35.1,114,0,"(300.317, 300.735]","(1576.217, 1613.783]","(34.8, 36.6]","(106.804, 116.652]"
765,296.9,1332,53.9,7,0,"(296.561, 296.978]","(1313.261, 1350.826]","(52.8, 54.6]","(-1.522, 8.326]"
2344,299.2,1755,26.4,19,0,"(299.065, 299.483]","(1726.478, 1764.043]","(25.8, 27.6]","(18.174, 28.022]"
4071,301.9,1331,68.6,85,1,"(301.57, 301.987]","(1313.261, 1350.826]","(67.2, 69.0]","(77.261, 87.109]"
7216,300.0,1651,28.1,114,0,"(299.9, 300.317]","(1613.783, 1651.348]","(27.6, 29.4]","(106.804, 116.652]"
4216,301.9,1370,50.3,20,0,"(301.57, 301.987]","(1350.826, 1388.391]","(49.2, 51.0]","(18.174, 28.022]"
7952,300.9,1480,40.9,28,0,"(300.735, 301.152]","(1463.522, 1501.087]","(40.2, 42.0]","(18.174, 28.022]"
5970,300.4,1520,37.6,151,0,"(300.317, 300.735]","(1501.087, 1538.652]","(36.6, 38.4]","(146.196, 156.043]"
3350,301.4,1285,62.6,183,1,"(301.152, 301.57]","(1275.696, 1313.261]","(61.8, 63.6]","(175.739, 185.587]"
4695,303.3,1514,34.7,130,0,"(303.239, 303.657]","(1501.087, 1538.652]","(33.0, 34.8]","(126.5, 136.348]"
3399,301.4,1605,34.2,94,0,"(301.152, 301.57]","(1576.217, 1613.783]","(33.0, 34.8]","(87.109, 96.957]"
4081,302.0,1336,58.2,110,1,"(301.987, 302.404]","(1313.261, 1350.826]","(58.2, 60.0]","(106.804, 116.652]"
9149,297.5,1429,50.5,129,0,"(297.396, 297.813]","(1425.957, 1463.522]","(49.2, 51.0]","(126.5, 136.348]"
1224,297.1,1763,25.7,139,0,"(296.978, 297.396]","(1726.478, 1764.043]","(24.0, 25.8]","(136.348, 146.196]"
6292,301.0,1614,31.6,84,0,"(300.735, 301.152]","(1613.783, 1651.348]","(31.2, 33.0]","(77.261, 87.109]"
3122,300.0,1473,46.0,35,0,"(299.9, 300.317]","(1463.522, 1501.087]","(45.6, 47.4]","(28.022, 37.87]"
510,297.5,1564,37.5,20,0,"(297.396, 297.813]","(1538.652, 1576.217]","(36.6, 38.4]","(18.174, 28.022]"
5794,301.9,1492,40.8,150,0,"(301.57, 301.987]","(1463.522, 1501.087]","(40.2, 42.0]","(146.196, 156.043]"
8181,299.7,1835,23.7,183,0,"(299.483, 299.9]","(1801.609, 1839.174]","(22.2, 24.0]","(175.739, 185.587]"
9417,298.1,1515,43.8,6,0,"(297.813, 298.23]","(1501.087, 1538.652]","(43.8, 45.6]","(-1.522, 8.326]"
96,299.0,1575,35.3,47,0,"(298.648, 299.065]","(1538.652, 1576.217]","(34.8, 36.6]","(37.87, 47.717]"
6681,301.4,1425,45.1,7,0,"(301.152, 301.57]","(1388.391, 1425.957]","(43.8, 45.6]","(-1.522, 8.326]"
1512,298.0,1503,36.3,5,0,"(297.813, 298.23]","(1501.087, 1538.652]","(34.8, 36.6]","(-1.522, 8.326]"
8791,297.4,1412,45.5,49,0,"(297.396, 297.813]","(1388.391, 1425.957]","(43.8, 45.6]","(47.717, 57.565]"
119,298.7,1467,40.7,106,0,"(298.648, 299.065]","(1463.522, 1501.087]","(40.2, 42.0]","(96.957, 106.804]"
7791,300.1,1418,47.7,73,0,"(299.9, 300.317]","(1388.391, 1425.957]","(47.4, 49.2]","(67.413, 77.261]"
6517,301.1,1540,36.6,28,0,"(300.735, 301.152]","(1538.652, 1576.217]","(34.8, 36.6]","(18.174, 28.022]"
33,298.9,1665,32.5,93,0,"(298.648, 299.065]","(1651.348, 1688.913]","(31.2, 33.0]","(87.109, 96.957]"
7887,300.7,1590,37.9,98,0,"(300.317, 300.735]","(1576.217, 1613.783]","(36.6, 38.4]","(96.957, 106.804]"
6830,301.0,1359,53.4,180,0,"(300.735, 301.152]","(1350.826, 1388.391]","(52.8, 54.6]","(175.739, 185.587]"
5421,302.6,1566,36.6,46,0,"(302.404, 302.822]","(1538.652, 1576.217]","(34.8, 36.6]","(37.87, 47.717]"
1068,296.8,1394,47.7,155,0,"(296.561, 296.978]","(1388.391, 1425.957]","(47.4, 49.2]","(146.196, 156.043]"
1347,298.7,1717,27.3,26,0,"(298.648, 299.065]","(1688.913, 1726.478]","(25.8, 27.6]","(18.174, 28.022]"
4747,303.3,1763,27.3,27,0,"(303.239, 303.657]","(1726.478, 1764.043]","(25.8, 27.6]","(18.174, 28.022]"
6005,300.6,1570,38.3,14,0,"(300.317, 300.735]","(1538.652, 1576.217]","(36.6, 38.4]","(8.326, 18.174]"
6039,300.6,1433,42.6,101,0,"(300.317, 300.735]","(1425.957, 1463.522]","(42.0, 43.8]","(96.957, 106.804]"
3817,302.1,1421,52.0,95,0,"(301.987, 302.404]","(1388.391, 1425.957]","(51.0, 52.8]","(87.109, 96.957]"
8446,298.5,1482,42.1,15,0,"(298.23, 298.648]","(1463.522, 1501.087]","(42.0, 43.8]","(8.326, 18.174]"
5269,303.5,1504,44.8,111,0,"(303.239, 303.657]","(1501.087, 1538.652]","(43.8, 45.6]","(106.804, 116.652]"
6897,301.0,1352,63.5,143,0,"(300.735, 301.152]","(1350.826, 1388.391]","(61.8, 63.6]","(136.348, 146.196]"
5309,303.9,1422,48.0,215,1,"(303.657, 304.074]","(1388.391, 1425.957]","(47.4, 49.2]","(205.283, 215.13]"
31,299.0,1798,25.5,89,0,"(298.648, 299.065]","(1764.043, 1801.609]","(24.0, 25.8]","(87.109, 96.957]"
5674,302.2,1393,42.5,53,0,"(301.987, 302.404]","(1388.391, 1425.957]","(42.0, 43.8]","(47.717, 57.565]"
4386,301.9,1719,31.9,0,0,"(301.57, 301.987]","(1688.913, 1726.478]","(31.2, 33.0]","(-1.522, 8.326]"
29,299.0,1693,30.1,84,0,"(298.648, 299.065]","(1688.913, 1726.478]","(29.4, 31.2]","(77.261, 87.109]"
4202,302.4,1555,40.6,205,0,"(301.987, 302.404]","(1538.652, 1576.217]","(40.2, 42.0]","(195.435, 205.283]"
7507,300.5,1750,28.3,207,0,"(300.317, 300.735]","(1726.478, 1764.043]","(27.6, 29.4]","(205.283, 215.13]"
735,296.9,1557,32.4,173,0,"(296.561, 296.978]","(1538.652, 1576.217]","(31.2, 33.0]","(165.891, 175.739]"
2067,299.7,1553,36.8,174,0,"(299.483, 299.9]","(1538.652, 1576.217]","(36.6, 38.4]","(165.891, 175.739]"
106,298.8,1445,48.5,70,0,"(298.648, 299.065]","(1425.957, 1463.522]","(47.4, 49.2]","(67.413, 77.261]"
9644,299.3,1629,32.6,177,0,"(299.065, 299.483]","(1613.783, 1651.348]","(31.2, 33.0]","(175.739, 185.587]"
8894,297.5,1546,38.0,123,0,"(297.396, 297.813]","(1538.652, 1576.217]","(36.6, 38.4]","(116.652, 126.5]"
8020,300.9,1720,27.9,202,0,"(300.735, 301.152]","(1688.913, 1726.478]","(27.6, 29.4]","(195.435, 205.283]"
2232,299.5,1672,30.5,177,0,"(299.483, 299.9]","(1651.348, 1688.913]","(29.4, 31.2]","(175.739, 185.587]"
993,296.1,1485,36.0,169,0,"(295.726, 296.143]","(1463.522, 1501.087]","(34.8, 36.6]","(165.891, 175.739]"
9412,298.0,1702,26.7,203,0,"(297.813, 298.23]","(1688.913, 1726.478]","(25.8, 27.6]","(195.435, 205.283]"
7058,300.7,1520,45.9,146,0,"(300.317, 300.735]","(1501.087, 1538.652]","(45.6, 47.4]","(136.348, 146.196]"
6789,301.1,1646,30.7,76,0,"(300.735, 301.152]","(1613.783, 1651.348]","(29.4, 31.2]","(67.413, 77.261]"
360,297.5,1521,38.2,74,0,"(297.396, 297.813]","(1501.087, 1538.652]","(36.6, 38.4]","(67.413, 77.261]"
304,297.8,1737,27.5,146,0,"(297.396, 297.813]","(1726.478, 1764.043]","(25.8, 27.6]","(136.348, 146.196]"
2627,299.8,1346,53.2,95,0,"(299.483, 299.9]","(1313.261, 1350.826]","(52.8, 54.6]","(87.109, 96.957]"
8965,297.1,1496,44.7,88,0,"(296.978, 297.396]","(1463.522, 1501.087]","(43.8, 45.6]","(87.109, 96.957]"
4513,302.4,1900,24.4,113,0,"(301.987, 302.404]","(1876.739, 1914.304]","(24.0, 25.8]","(106.804, 116.652]"
5910,300.8,1458,43.4,0,0,"(300.735, 301.152]","(1425.957, 1463.522]","(42.0, 43.8]","(-1.522, 8.326]"
8313,298.8,1484,44.9,80,0,"(298.648, 299.065]","(1463.522, 1501.087]","(43.8, 45.6]","(77.261, 87.109]"
3100,299.8,1578,42.1,191,0,"(299.483, 299.9]","(1576.217, 1613.783]","(42.0, 43.8]","(185.587, 195.435]"
5703,302.3,1456,45.4,130,0,"(301.987, 302.404]","(1425.957, 1463.522]","(43.8, 45.6]","(126.5, 136.348]"
3898,302.1,1423,36.8,80,0,"(301.987, 302.404]","(1388.391, 1425.957]","(36.6, 38.4]","(77.261, 87.109]"
5440,303.0,1698,30.0,89,0,"(302.822, 303.239]","(1688.913, 1726.478]","(29.4, 31.2]","(87.109, 96.957]"
7930,300.6,1455,48.0,203,0,"(300.317, 300.735]","(1425.957, 1463.522]","(47.4, 49.2]","(195.435, 205.283]"
621,298.3,1408,45.3,78,0,"(298.23, 298.648]","(1388.391, 1425.957]","(43.8, 45.6]","(77.261, 87.109]"
7235,299.8,1361,53.8,167,0,"(299.483, 299.9]","(1350.826, 1388.391]","(52.8, 54.6]","(165.891, 175.739]"
2498,299.1,1467,47.2,218,0,"(299.065, 299.483]","(1463.522, 1501.087]","(45.6, 47.4]","(215.13, 224.978]"
713,297.4,1439,46.4,114,0,"(297.396, 297.813]","(1425.957, 1463.522]","(45.6, 47.4]","(106.804, 116.652]"
8403,298.5,1462,45.1,115,0,"(298.23, 298.648]","(1425.957, 1463.522]","(43.8, 45.6]","(106.804, 116.652]"
2855,300.5,1528,37.0,221,0,"(300.317, 300.735]","(1501.087, 1538.652]","(36.6, 38.4]","(215.13, 224.978]"
4269,302.6,1610,39.2,152,0,"(302.404, 302.822]","(1576.217, 1613.783]","(38.4, 40.2]","(146.196, 156.043]"
2908,300.7,1251,59.9,120,0,"(300.317, 300.735]","(1238.13, 1275.696]","(58.2, 60.0]","(116.652, 126.5]"
8080,300.2,1432,43.6,127,0,"(299.9, 300.317]","(1425.957, 1463.522]","(42.0, 43.8]","(126.5, 136.348]"
4516,302.5,1539,39.0,119,0,"(302.404, 302.822]","(1538.652, 1576.217]","(38.4, 40.2]","(116.652, 126.5]"
1261,297.6,1885,25.2,24,0,"(297.396, 297.813]","(1876.739, 1914.304]","(24.0, 25.8]","(18.174, 28.022]"
3160,300.4,1367,51.2,143,0,"(300.317, 300.735]","(1350.826, 1388.391]","(51.0, 52.8]","(136.348, 146.196]"
970,295.8,1568,35.1,111,0,"(295.726, 296.143]","(1538.652, 1576.217]","(34.8, 36.6]","(106.804, 116.652]"
3912,302.4,1475,40.4,126,0,"(301.987, 302.404]","(1463.522, 1501.087]","(40.2, 42.0]","(116.652, 126.5]"
5198,303.8,1428,53.3,152,0,"(303.657, 304.074]","(1425.957, 1463.522]","(52.8, 54.6]","(146.196, 156.043]"
8846,297.4,1325,62.4,204,1,"(297.396, 297.813]","(1313.261, 1350.826]","(61.8, 63.6]","(195.435, 205.283]"
259,298.1,1420,63.9,19,1,"(297.813, 298.23]","(1388.391, 1425.957]","(63.6, 65.4]","(18.174, 28.022]"
3790,302.3,1412,48.9,28,0,"(301.987, 302.404]","(1388.391, 1425.957]","(47.4, 49.2]","(18.174, 28.022]"
9202,297.8,1548,36.9,64,0,"(297.396, 297.813]","(1538.652, 1576.217]","(36.6, 38.4]","(57.565, 67.413]"
487,297.4,1463,35.0,183,0,"(297.396, 297.813]","(1425.957, 1463.522]","(34.8, 36.6]","(175.739, 185.587]"
7907,300.8,1858,26.3,144,0,"(300.735, 301.152]","(1839.174, 1876.739]","(25.8, 27.6]","(136.348, 146.196]"
518,297.6,1924,20.6,37,0,"(297.396, 297.813]","(1914.304, 1951.87]","(20.4, 22.2]","(28.022, 37.87]"
8342,298.7,1510,40.6,162,0,"(298.648, 299.065]","(1501.087, 1538.652]","(40.2, 42.0]","(156.043, 165.891]"
311,298.0,1453,44.1,165,0,"(297.813, 298.23]","(1425.957, 1463.522]","(43.8, 45.6]","(156.043, 165.891]"
