,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha
4522,303.6,1504,49.5,109,0
9518,302.0,1978,22.0,106,0
3118,297.1,1342,49.1,179,0
3728,301.7,1644,32.5,201,0
3886,302.5,1265,59.8,119,0
7106,298.5,1725,31.9,205,0
5173,300.6,1541,42.0,23,0
7324,299.0,1487,47.5,123,0
8482,302.3,1445,44.8,65,0
5391,298.0,1626,36.7,210,0
6499,300.7,1685,31.1,27,0
5716,299.7,1429,47.7,35,0
4604,303.3,1508,35.5,217,0
601,301.0,1530,43.9,165,0
9248,298.9,1415,54.0,6,0
8918,302.5,1477,39.2,144,0
8191,298.3,1419,47.1,105,0
9619,300.7,1445,41.1,201,0
8746,302.2,1562,38.1,78,0
4852,299.2,1490,43.2,158,0
1044,297.9,1505,40.1,166,0
7333,301.4,1701,28.4,127,0
1557,299.7,1346,57.4,138,0
3739,298.2,1377,57.8,8,0
3522,298.2,1429,48.5,164,0
180,298.8,1484,44.9,80,0
2115,300.4,1373,47.2,3,0
1699,296.2,1385,44.0,5,0
1379,300.7,1689,28.9,100,0
7228,301.8,1309,43.3,68,0
6037,298.9,1559,33.4,58,0
618,302.2,1471,45.6,140,0
3181,299.5,1594,35.1,54,0
9850,298.8,1490,40.6,124,0
1600,297.0,1296,69.1,153,1
8134,303.4,1663,33.9,78,0
1615,296.5,1566,37.2,164,0
9642,296.3,1444,49.0,13,0
9590,297.8,1798,25.5,203,0
3891,298.3,1296,58.7,201,0
2083,298.6,1419,44.9,115,0
4573,301.4,1565,36.1,110,0
5593,304.2,1380,48.7,17,0
5120,298.1,1456,42.4,59,0
4818,300.9,1995,20.2,105,0
4901,300.8,1782,26.9,116,0
9512,299.6,1487,42.9,42,0
9856,298.6,1715,28.4,90,0
7302,303.1,1510,47.6,16,0
8333,302.0,1358,53.1,194,0
1918,301.1,1654,30.7,28,0
8329,298.9,1491,45.3,133,0
5706,303.8,1523,39.8,150,0
8499,302.3,1339,50.8,123,0
7903,298.6,1311,46.6,44,0
2054,301.3,1413,42.0,221,0
7611,300.1,1599,30.1,216,0
9765,299.3,1586,37.9,129,0
3963,298.0,1395,46.2,122,0
1126,301.4,1698,29.6,99,0
3428,297.4,1402,49.7,41,0
7008,302.3,1401,49.7,118,0
3721,302.3,1448,49.6,28,0
2389,300.0,1499,35.7,46,0
1322,296.7,1400,47.5,3,0
1603,297.4,1433,43.4,116,0
6225,300.5,1390,51.9,68,0
9003,300.5,1867,23.0,103,0
4336,298.6,1684,27.8,44,0
7531,302.3,1281,48.8,0,0
4411,295.6,1490,42.7,171,0
5224,300.4,1359,55.4,160,0
9342,300.7,1507,46.1,209,0
3991,300.7,1596,36.9,174,0
6682,298.7,1593,42.5,146,0
1559,299.6,1630,32.3,194,0
4681,301.3,1365,47.7,70,0
7556,302.6,1591,33.9,119,0
3772,298.2,1614,35.5,15,0
5447,297.4,1382,49.9,151,0
3457,296.2,1655,31.1,136,0
8382,297.4,1494,42.6,161,0
1354,297.1,1588,33.4,204,0
45,298.8,1350,52.5,111,0
9871,299.9,1292,51.1,173,0
748,300.5,1379,54.2,207,1
4838,302.3,1530,42.3,21,0
4241,299.1,1428,43.0,53,0
5487,300.4,1413,50.3,101,0
4656,303.6,1363,53.1,7,0
4238,299.8,1453,43.2,153,0
3460,297.4,1365,52.4,76,0
8014,302.5,2052,18.9,40,0
8109,297.8,1516,40.1,166,0
8061,300.1,1345,57.1,71,0
5837,299.7,1614,36.2,108,0
8090,300.5,1642,36.2,103,0
5489,298.6,1450,44.2,63,0
3614,299.7,1384,48.2,188,0
9514,299.3,1442,49.0,165,0
8277,302.1,1603,35.9,104,0
4665,298.2,1805,31.6,96,0
8018,297.6,1354,55.6,46,0
9750,302.5,1638,32.0,198,0
5356,296.9,1549,37.8,104,0
664,303.8,1732,29.6,147,0
2319,295.6,1428,44.5,51,0
3542,297.4,1620,35.8,215,0
3677,297.5,1486,45.9,78,0
9598,297.5,1426,44.8,24,0
3091,299.9,1410,51.2,98,0
675,297.5,1587,34.9,166,0
7290,303.6,1436,42.0,110,0
4883,299.9,1349,51.3,176,0
9192,301.8,1463,50.1,149,0
1962,300.7,1371,61.7,102,0
1840,302.5,1447,45.7,210,0
7276,298.1,1563,32.8,51,0
6261,301.2,1687,29.7,30,0
3538,301.1,1521,41.0,99,0
5635,302.3,1596,33.5,104,0
9876,300.6,1497,38.2,83,0
4174,298.1,1661,38.2,82,0
7372,297.5,1437,43.3,34,0
4377,301.0,1499,34.6,207,0
6210,303.7,1384,45.9,121,0
5570,301.2,1505,43.6,78,0
411,302.0,1447,42.8,185,0
613,302.0,1400,49.5,20,0
6125,300.5,1354,51.8,157,0
8486,301.9,1475,47.8,179,0
1430,301.7,1585,35.9,185,0
2425,301.2,1389,45.3,64,0
7478,297.1,1432,53.4,199,0
3833,297.4,1332,53.2,115,0
5558,296.9,1430,55.9,71,0
8878,301.7,1399,55.1,156,0
1417,302.6,1549,37.5,199,0
7198,300.6,1378,47.3,71,0
604,301.7,1303,59.7,42,0
1272,301.8,1551,37.7,64,0
3964,297.5,1454,45.0,19,0
6366,303.3,1393,47.4,18,0
8745,299.1,1317,54.8,231,1
247,300.0,1631,28.3,110,0
5121,301.2,1598,35.9,71,0
1982,297.8,1902,24.3,129,0
2835,298.2,1429,49.4,141,0
5822,303.0,1460,43.9,103,0
199,302.4,1475,40.4,126,0
485,300.7,2377,14.3,135,0
8506,298.3,1507,41.6,112,0
8955,300.7,1486,47.3,19,0
455,298.8,1991,20.7,59,0
9797,301.1,1479,41.1,72,0
8825,298.8,1393,52.6,167,0
9016,303.8,1514,45.0,113,0
1721,295.7,1490,34.3,97,0
5153,299.1,1486,40.7,39,0
7736,297.7,1461,43.7,142,0
9818,301.2,1424,45.2,68,0
5766,302.7,1447,47.5,166,0
6961,301.3,1300,58.3,92,0
4625,302.1,1439,40.0,7,0
862,300.3,1390,49.0,194,0
2094,297.6,1414,45.4,138,0
947,301.7,1589,37.9,75,0
5640,298.3,1463,42.5,190,0
1444,297.3,1754,26.8,125,0
1280,298.1,1448,52.5,150,0
3110,299.0,1310,50.7,112,0
7413,299.6,1381,60.5,13,0
7608,301.1,1486,34.9,122,0
9878,300.6,1750,30.6,171,0
3016,302.0,1454,36.6,0,0
2302,298.4,1433,47.1,101,0
2004,301.4,1571,33.9,208,0
7684,300.6,1920,22.3,223,0
8703,295.6,1418,46.2,24,0
1005,298.8,1611,32.4,183,0
4588,298.8,1379,46.7,204,0
4317,303.9,1590,31.9,5,0
6557,301.4,1675,30.7,92,0
4387,301.9,1400,58.2,79,0
2132,298.8,1523,44.4,55,0
4265,297.6,1464,46.2,218,0
2057,297.6,1622,37.9,79,0
5254,298.5,1733,26.0,8,0
229,302.8,1651,27.0,200,0
2889,302.6,1331,52.0,154,1
4472,299.9,1703,28.4,134,0
9708,303.2,1238,54.6,226,1
7923,301.3,1624,40.9,0,0
8619,298.3,1390,49.7,23,0
8380,300.3,1304,62.8,118,0
209,298.0,1453,44.1,165,0
2758,300.5,1508,37.8,150,0
7485,301.0,1363,46.3,62,0
2948,300.9,1565,35.9,81,0
8413,301.4,1553,44.7,173,0
6329,303.1,1594,35.5,13,0
1728,303.8,1919,20.2,131,0
4176,299.4,1500,43.3,10,0
337,299.5,1481,43.1,90,0
4983,299.7,1411,46.1,173,0
6877,300.1,1650,31.6,19,0
8000,297.4,1392,49.7,174,0
8451,297.6,1569,36.2,63,0
1226,298.4,1402,44.8,201,0
7607,298.1,1572,37.5,126,0
6826,297.5,2033,16.7,128,0
3540,299.4,1451,40.5,168,0
8526,300.1,1469,43.9,20,0
2111,301.2,1424,41.4,131,0
2691,302.8,1470,41.1,205,0
6369,297.4,1490,42.6,164,0
3707,302.1,1364,47.8,213,1
1017,303.3,1395,59.1,4,0
8510,298.8,1591,31.1,68,0
2807,298.2,1824,24.2,49,0
5014,302.3,1633,36.4,114,0
1928,300.0,1508,38.2,18,0
350,300.7,1420,47.0,119,0
6482,302.5,1559,37.6,209,0
4192,298.4,1569,34.4,160,0
1934,302.7,1350,58.6,2,0
7521,302.2,1577,29.8,112,0
4822,300.5,1488,39.4,159,0
564,298.9,1284,55.3,166,0
1582,299.4,1541,39.1,109,0
4693,298.3,1444,47.5,178,0
2175,298.3,1585,30.6,127,0
4877,297.4,1324,53.5,169,0
4879,300.8,1559,40.1,220,0
2228,298.2,1458,41.8,132,0
1115,300.5,1780,26.5,101,0
3126,299.4,1552,37.4,37,0
3544,299.5,1563,41.5,183,0
5155,300.9,1438,49.0,61,0
7475,298.0,1450,48.7,138,0
821,300.8,1466,45.2,188,0
7613,300.4,1662,29.3,129,0
2272,302.0,1635,36.0,23,0
5544,301.2,1576,39.6,109,0
81,295.5,1448,48.9,65,0
1323,300.7,1406,48.4,151,0
9508,300.6,1888,20.5,133,0
1614,300.8,1535,40.3,71,0
831,297.3,1513,40.5,25,0
3883,297.4,1833,22.6,161,0
6466,299.0,1500,40.2,30,0
4464,299.1,1569,38.2,155,0
5338,297.7,1732,28.8,152,0
8065,297.8,1446,51.4,105,0
1649,300.8,1678,28.1,63,0
4065,297.4,1496,36.4,126,0
6434,299.7,1375,46.8,86,0
3038,298.1,1351,52.4,102,0
3320,302.7,1422,44.5,49,0
7142,300.5,1383,50.5,35,0
6888,298.1,1332,51.0,72,0
7011,297.1,1712,32.1,48,0
3720,297.2,1794,27.5,38,0
2423,299.8,1654,32.7,159,0
749,297.4,1620,33.4,186,0
5270,299.2,1387,48.7,4,0
2373,303.9,1759,28.4,74,0
4692,295.8,1493,40.5,90,0
5133,296.7,1286,60.5,0,0
8369,295.7,1408,47.9,117,0
5296,298.8,1225,63.4,37,0
4368,302.0,1448,43.4,167,0
6818,300.0,1395,44.5,181,0
5786,303.3,1566,46.1,41,0
1139,300.9,1382,50.4,131,0
7630,301.6,1392,42.4,3,0
2231,302.4,1448,44.8,195,0
2164,299.1,1628,35.9,174,0
5216,300.5,1465,46.0,89,0
6840,303.8,1416,58.7,156,0
9441,301.9,1650,29.8,94,0
4560,300.7,1488,39.2,189,0
1570,300.5,1555,38.9,166,0
172,300.7,1520,45.9,146,0
7162,299.3,1474,49.6,191,0
2087,303.7,1619,34.9,92,0
7366,298.1,1534,33.7,47,0
4564,297.3,1625,32.8,92,0
8711,302.3,1435,44.8,98,0
6336,300.6,1563,40.7,87,0
4782,300.0,1445,41.6,81,0
2684,300.9,1790,26.2,191,0
1832,301.9,1669,32.2,191,0
9582,299.7,1620,30.0,168,0
5064,299.1,1426,47.9,67,0
9129,298.1,1680,33.7,185,0
9354,302.6,1638,29.6,160,0
4412,297.3,1488,37.4,69,0
8744,298.8,1444,42.2,83,0
7360,296.9,1514,35.7,100,0
834,298.8,1736,29.0,31,0
6820,300.9,1434,45.4,118,0
3781,300.7,1428,43.4,26,0
9011,300.7,1387,50.6,83,0
7122,302.2,1397,53.0,17,0
3424,299.0,1447,42.8,104,0
65,299.6,1448,46.3,196,0
2963,300.0,1759,27.9,5,0
5118,298.9,1572,34.1,80,0
8544,298.9,1564,34.1,99,0
354,297.2,1486,46.6,98,0
8170,303.1,1766,26.7,157,0
4030,301.4,1738,30.3,104,0
5419,299.2,1466,41.3,8,0
3651,298.1,2567,12.8,125,1
9191,298.9,1429,55.1,140,0
3297,300.9,1402,48.1,22,0
4127,297.1,1754,30.3,206,0
8042,301.7,1542,40.0,188,0
4766,297.9,1478,39.7,10,0
472,302.6,1781,28.5,196,0
3761,298.9,2069,18.7,27,0
8775,301.1,1657,34.1,52,0
3566,299.1,1491,41.0,209,0
2760,302.6,1430,51.7,32,0
868,299.0,1382,58.5,199,0
9381,300.8,1580,36.6,109,0
7286,299.6,1507,42.4,108,0
4052,298.0,1610,33.7,212,0
5157,297.8,1648,33.0,29,0
3244,298.4,1463,37.6,188,0
5758,298.2,1371,55.7,23,0
9329,300.8,1417,43.4,223,0
5639,301.1,1508,41.5,184,0
5247,303.5,1501,44.0,128,0
8539,302.3,1559,33.9,119,0
1075,299.1,1450,43.0,40,0
2957,299.6,1283,62.1,83,0
6751,301.4,1579,36.9,133,0
8656,299.9,1268,53.3,146,0
7678,302.9,1334,54.7,88,0
9965,298.1,1549,38.7,43,0
5009,297.6,1744,28.5,42,0
7053,299.5,1364,49.5,0,0
5903,298.2,1411,47.2,168,0
9870,297.4,1582,31.9,161,0
73,300.7,1733,24.8,85,0
4900,301.3,1628,32.2,43,0
4375,302.8,1366,49.1,221,0
7296,299.0,1623,33.0,210,0
9804,299.3,1420,50.3,208,0
1101,302.6,1599,37.0,211,0
9536,298.7,1549,42.5,61,0
7654,299.3,1571,38.3,59,0
5234,301.9,1541,38.9,193,0
4734,298.2,1491,38.3,121,0
118,299.2,1755,26.4,19,0
2022,301.1,1666,27.2,40,0
9884,300.8,1434,45.6,174,0
2638,298.6,1356,59.5,34,0
2034,303.1,1831,23.3,161,0
2564,298.0,1462,48.2,204,0
8664,299.1,1592,34.2,153,0
3543,299.2,1538,38.0,98,0
1219,301.7,1421,45.9,85,0
9159,300.4,1521,35.0,119,0
7303,303.7,1832,23.6,35,0
2903,303.9,1620,36.6,80,0
3026,298.5,1531,30.8,212,0
2510,298.7,1373,46.9,60,0
4201,301.1,1367,43.4,111,0
3207,298.5,1522,36.9,53,0
4489,295.6,1669,29.0,161,0
2755,299.5,1374,48.3,154,0
5876,300.4,1832,24.2,179,0
177,297.1,1496,44.7,88,0
1643,297.9,1459,46.9,85,0
9291,303.7,1922,23.1,193,0
3518,300.8,1657,31.1,151,0
1374,298.8,1380,44.0,56,0
1720,302.1,1533,39.4,26,0
3995,302.2,1422,47.0,3,0
3688,302.5,1985,18.8,190,0
2264,297.8,1424,45.5,2,0
87,300.4,1488,35.7,177,0
2848,302.3,1652,32.8,108,0
8686,303.5,1629,33.5,73,0
403,297.5,1596,30.7,5,0
9899,301.2,1568,38.3,49,0
4077,303.5,1674,30.8,0,0
6834,297.8,1752,26.1,52,0
6536,300.3,1468,44.7,179,0
2456,297.2,1705,26.0,200,0
2751,298.3,1505,41.3,93,0
2214,303.0,1372,54.3,117,1
1027,301.1,1309,60.7,100,0
9702,296.9,1840,24.6,157,0
1421,300.1,1434,40.8,80,0
2436,298.1,1924,20.8,29,0
4277,300.7,1706,25.0,153,0
9425,300.1,1314,58.2,114,0
1278,299.2,1509,39.4,0,0
6998,297.8,1533,36.8,198,0
4906,298.1,1484,40.4,59,0
7741,301.0,1454,41.9,33,0
1978,304.0,1720,28.7,106,0
1061,304.0,1408,39.8,132,0
5013,297.8,1579,36.6,152,0
4535,295.5,1542,36.2,12,0
6992,299.2,1488,40.3,148,0
4580,302.2,1360,53.0,36,0
1502,297.9,1338,49.6,56,0
8729,298.8,1359,47.6,85,0
4742,304.2,1481,44.9,136,0
9216,298.3,1646,30.2,125,0
8919,298.9,1750,25.0,156,0
4919,300.5,1331,55.3,167,0
678,301.6,1290,65.3,63,0
7876,302.6,1609,36.0,162,0
5885,298.2,1306,58.3,35,0
7567,299.0,1432,42.2,87,0
102,303.6,2232,16.8,0,0
957,300.3,1601,31.7,180,0
5654,298.4,1458,40.1,111,0
3785,297.7,1372,52.8,33,0
6231,303.8,1507,38.5,180,0
7172,297.9,1464,43.2,97,0
4043,299.6,1641,35.8,81,0
2648,300.2,1467,40.7,23,0
7375,298.3,1395,49.8,133,0
7044,297.7,1700,27.4,176,0
2826,298.8,1424,49.6,129,0
4094,298.7,1422,40.7,85,0
7773,301.8,1399,41.8,125,0
4836,301.3,1372,54.2,49,0
8112,299.8,1555,34.8,122,0
4771,303.9,1514,41.1,121,0
1947,298.4,1473,39.9,184,0
6108,299.2,1408,47.2,0,0
2299,298.0,1487,41.3,160,0
8430,299.5,1863,22.5,79,0
4382,297.9,1515,38.8,124,0
5424,299.8,1706,29.2,148,0
9343,298.4,1279,53.1,9,0
7131,301.6,1623,34.1,56,0
4291,296.8,1565,40.1,89,0
528,297.6,1398,41.9,215,0
1233,298.1,1497,40.5,58,0
779,300.0,1486,36.4,66,0
5858,303.6,2659,11.4,26,1
3059,300.9,1445,41.7,180,0
5657,298.7,1613,36.0,0,0
1860,301.7,1491,39.3,114,0
8437,303.1,1420,55.8,113,0
7402,297.8,1351,49.0,181,0
4638,300.6,1494,47.3,118,0
4250,299.9,1412,48.3,198,0
1992,298.7,1753,26.8,40,0
6984,302.3,1379,49.3,34,1
7238,302.5,1629,31.7,225,0
7961,302.6,1544,35.1,25,0
8364,300.2,1999,21.0,19,0
6096,300.2,1827,23.0,6,0
2471,300.7,1486,35.8,32,0
6531,297.4,1573,34.5,205,0
9984,303.9,1480,39.9,176,0
4698,302.2,1340,47.8,54,0
1396,297.8,1400,56.9,34,0
4002,298.2,1723,26.6,168,0
5894,300.4,1286,56.8,46,0
3235,297.5,1546,33.8,139,0
1042,300.2,1397,50.2,71,0
3298,297.6,1552,42.3,27,0
7255,298.0,1547,36.8,186,0
257,298.8,1485,42.4,74,0
8264,298.7,1322,57.0,140,0
8615,300.5,1558,36.7,113,0
7815,299.0,1744,31.5,0,0
4985,301.6,1907,21.5,102,0
2089,301.9,1533,35.9,204,0
7701,298.0,1386,57.3,147,0
503,300.1,1547,40.0,201,0
5264,300.6,1629,37.6,162,0
8813,302.0,2197,15.8,133,0
1345,300.7,1378,51.6,130,0
5968,302.5,1415,48.2,117,0
5764,300.1,1532,39.8,115,0
2248,301.4,1476,36.5,25,0
9487,300.4,1578,32.8,26,0
372,300.7,1507,52.4,163,0
8453,303.3,1539,38.5,221,0
3370,297.0,1399,46.4,132,0
2006,297.3,1469,44.1,150,0
3656,300.5,1453,45.1,151,0
8326,298.8,1581,37.5,75,0
7520,299.0,1677,30.8,73,0
4001,300.4,1409,47.5,138,0
6071,297.7,1479,42.1,58,0
8324,297.4,1468,46.6,94,0
997,300.0,1454,51.7,2,0
8178,300.2,1379,51.0,46,0
3290,298.2,1592,35.2,142,0
1176,301.9,1439,41.7,201,0
551,298.7,1502,46.7,198,0
744,297.8,1581,33.1,116,0
5718,297.9,1521,36.1,15,0
4554,302.0,1639,32.9,94,0
2859,298.9,1401,44.4,76,0
8819,298.8,1582,45.0,11,0
3459,298.9,1564,33.8,183,0
2724,300.2,1514,38.7,48,0
6846,298.5,1578,36.3,71,0
7614,304.0,1615,37.8,127,0
9110,298.8,1455,41.3,208,1
9173,297.6,1351,51.0,37,0
5770,298.8,1294,55.8,202,0
5357,303.7,1670,26.1,139,0
6727,298.9,1546,43.4,114,0
2968,301.4,1616,36.5,121,0
693,300.7,1499,38.4,205,0
2533,298.2,1459,44.5,89,0
6398,303.7,1512,39.2,184,0
982,299.5,1356,54.9,72,0
5363,300.3,1394,46.7,210,1
79,298.7,1560,33.3,53,0
4053,297.3,1896,24.4,47,0
4710,299.7,1574,36.4,135,0
6483,298.3,1430,40.9,162,0
9024,297.9,1538,38.5,123,0
3107,302.8,1516,39.5,23,0
3601,301.6,1555,40.4,139,0
4955,300.4,1429,46.9,19,0
8349,301.2,1479,45.5,44,0
2142,297.4,1820,24.6,79,0
6309,301.0,1727,34.5,127,0
2268,297.8,1391,48.6,109,0
445,302.4,1545,36.4,12,0
7091,299.8,1320,61.7,134,0
4466,297.8,1576,45.0,17,0
9025,301.6,1621,33.7,137,0
6631,303.7,1332,52.7,66,1
3316,301.3,1303,49.2,212,0
1701,297.2,1605,30.0,183,0
2526,299.7,1478,38.8,199,0
68,301.3,1495,40.8,148,0
1168,298.2,1447,48.4,51,0
48,298.1,1684,33.1,200,0
1053,298.5,1363,49.2,149,0
4029,302.0,1383,50.3,231,1
880,304.0,1313,53.9,202,0
2651,297.3,1491,40.2,112,0
4641,301.8,1383,46.4,37,0
2439,303.3,1651,30.6,50,0
4708,299.2,1375,55.1,78,0
1467,298.7,1402,45.9,30,0
9815,303.4,1422,39.9,63,0
5034,303.9,1440,41.1,12,0
2441,300.6,1622,34.1,3,0
9307,302.5,1487,42.0,152,0
230,295.8,1399,47.6,84,0
1320,300.6,1684,32.8,53,0
41,298.8,1452,48.6,98,0
777,299.4,1556,35.7,75,0
8949,300.4,1427,50.7,122,0
8403,299.8,1614,30.8,100,0
1729,301.4,1689,30.6,110,0
3910,300.6,1726,30.0,147,0
579,298.8,1523,41.9,165,0
9940,301.1,1430,37.9,124,0
5838,300.7,1435,44.7,76,0
6601,302.7,1297,60.7,125,1
7070,299.1,1493,34.9,119,0
1491,299.9,1412,57.9,59,0
9419,296.6,1482,39.9,153,0
5609,301.5,1359,47.1,115,0
61,301.0,1602,35.9,67,0
5470,302.2,1597,35.8,160,0
3905,298.5,1504,33.7,182,0
7288,300.8,1461,44.3,158,0
402,297.3,1554,36.1,70,0
332,297.8,1563,34.3,53,0
2084,298.2,1491,39.7,181,0
6832,302.6,1445,42.0,181,0
164,299.7,1553,36.8,174,0
4379,302.7,1305,55.2,20,1
2715,296.7,1382,47.5,37,0
8922,302.4,1462,48.5,81,0
5186,298.0,1378,49.7,94,0
5452,301.0,1617,34.5,126,0
8063,296.5,1607,33.5,104,0
1334,297.6,1415,41.3,17,0
7213,302.8,1708,29.8,42,0
1659,297.3,1456,42.9,122,0
3578,299.4,1366,48.4,116,0
753,297.7,1446,43.9,172,0
7233,300.5,1619,32.7,85,0
706,300.6,1480,43.7,153,0
3014,297.4,1468,41.4,156,0
8557,300.9,2235,15.8,156,0
9874,300.5,1350,51.7,18,0
9581,298.9,1577,41.4,80,0
8103,298.1,1463,45.9,3,0
9852,303.1,1435,41.9,115,0
8982,302.4,1435,42.3,83,0
1834,300.6,1459,47.0,63,0
2996,297.0,1595,31.7,170,0
5426,300.6,1705,31.2,181,0
3879,302.3,1476,37.3,20,0
5753,303.5,1535,33.3,120,0
8714,299.3,1669,32.4,5,0
6940,298.2,1651,28.8,186,0
7243,302.2,1543,38.5,37,0
4738,299.8,1431,40.3,101,0
8836,300.5,1509,47.2,202,0
8866,300.6,1468,44.1,76,0
2246,302.3,1374,52.4,154,0
835,302.2,1462,43.6,0,0
9012,301.7,1502,34.4,157,0
9041,300.3,1466,41.2,156,0
432,297.6,1569,38.3,93,0
3378,297.1,1559,38.8,229,0
7078,301.7,1624,34.5,216,0
4834,300.4,1396,51.2,54,0
9620,300.7,1969,20.7,109,0
